Nama Rumah,Harga,Cicilan,Lokasi,Keterangan
Kebun Raya Residence Cluster Cipta Park 1,Rp 870.000.000,Cicilan 8.4 Juta/bulan,"Ciomas, Kabupaten bogor",LT 96 m²LB 54 m²KM 1KT 2
El Fatih Land Pancoran mas F1,Rp 960.000.000,Cicilan 9.2 Juta/bulan,"Pancoran mas, Kota depok",LT 72 m²LB 100 m²KM 2KT 3
Komplek Depkes,Rp 1.280.000.000,Cicilan 12.3 Juta/bulan,"Ciputat, Kota tangerang selatan",LT 125 m²LB 112 m²KM 3KT 3
Perumahan Taman Yasmin Sektor 1,Rp 1.140.000.000,Cicilan 11 Juta/bulan,"Bogor barat, Kota bogor",LT 91 m²LB 91 m²KM 1KT 2
Metland Cileungsi,Rp 1.530.000.000,Cicilan 14.7 Juta/bulan,"Cileungsi, Kabupaten bogor",LT 84 m²LB 99 m²KM 2KT 3
Griya Loka BSD,Rp 1.725.000.000,Cicilan 16.6 Juta/bulan,"Serpong, Kota tangerang selatan",LT 112 m²LB 72 m²KM 2KT 3
Perumahan Citra 5,Rp 2.150.000.000,Cicilan 20.7 Juta/bulan,"Kalideres, Kota jakarta barat",LT 108 m²LB 123 m²KM 3KT 4
Vida Bumi Pala Grand Bekasi,Rp 725.000.000,Cicilan 7 Juta/bulan,"Mustikajaya, Kota bekasi",LT 67 m²LB 47 m²KM 1KT 2
Perumahan Cipta Graha Permai,Rp 785.000.000,Cicilan 7.5 Juta/bulan,"Cibinong, Kabupaten bogor",LT 84 m²LB 52 m²KM 1KT 2
Griya Melati Mas,Rp 885.000.000,Cicilan 8.5 Juta/bulan,"Cilodong, Kota depok",LT 84 m²LB 57 m²KM 2KT 2
Perumahan Bukit Dago Cluster Ambassador,Rp 975.000.000,Cicilan 9.4 Juta/bulan,"Gunung sindur, Kabupaten bogor",LT 78 m²LB 42 m²KM 1KT 2
Perumahan Bella Casa Tole Iskandar Depok Cluster Alamanda,Rp 1.000.000.000,Cicilan 9.6 Juta/bulan,"Pancoran mas, Kota depok",LT 84 m²LB 32 m²KM 1KT 2
Bumi Serpong Residence,Rp 1.050.000.000,Cicilan 10.1 Juta/bulan,"Serpong, Kota tangerang selatan",LT 96 m²LB 64 m²KM 2KT 3
Grand Depok City Puri Insani 2,Rp 1.075.000.000,Cicilan 10.3 Juta/bulan,"Cilodong, Kota depok",LT 90 m²LB 75 m²KM 2KT 2
Perumahan Villa Dago Pamulang,Rp 1.175.000.000,Cicilan 11.3 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 104 m²LB 102 m²KM 1KT 3
Pamulang Permai 1,Rp 1.190.000.000,Cicilan 11.5 Juta/bulan,"Pamulang, Kota tangerang selatan",LT 98 m²LB 66 m²KM 2KT 3
Natura Residence Karawaci,Rp 1.199.000.000,Cicilan 11.5 Juta/bulan,"Karawaci, Kota tangerang",LT 84 m²LB 51 m²KM 1KT 2
Perumahan Taman Titian Asri,Rp 1.275.000.000,Cicilan 12.3 Juta/bulan,"Medansatria, Kota bekasi",LT 97 m²LB 93 m²KM 3KT 3
Bintang Metropole,Rp 1.295.000.000,Cicilan 12.5 Juta/bulan,"Bekasi utara, Kota bekasi",LT 120 m²LB 83 m²KM 1KT 3
Telaga Golf Sawangan Cluster France,Rp 1.415.000.000,Cicilan 13.6 Juta/bulan,"Sawangan, Kota depok",LT 125 m²LB 94 m²KM 3KT 3
Diamond Andara Residence,Rp 1.550.000.000,Cicilan 14.9 Juta/bulan,"Cinere, Kota depok",LT 101 m²LB 117 m²KM 3KT 3
Golden Park,Rp 1.550.000.000,Cicilan 14.9 Juta/bulan,"Serpong utara, Kota tangerang selatan",LT 94 m²LB 117 m²KM 2KT 3
Perumahan Villa Mutiara,Rp 460.000.000,Cicilan 4.4 Juta/bulan,"Tanah sareal, Kota bogor",LT 60 m²LB 60 m²KM 1KT 2
Relife Greenville Cileungsi Cluster Fruitville,Rp 460.000.000,Cicilan 4.4 Juta/bulan,"Setu, Kabupaten bekasi",LT 60 m²LB 40 m²KM 1KT 2
Perumahan Harvest City Cluster Orchid,Rp 500.000.000,Cicilan 4.8 Juta/bulan,"Setu, Kabupaten bekasi",LT 72 m²LB 36 m²KM 1KT 2
Perumahan Bogor Kopasus Blok B4,Rp 500.000.000,Cicilan 4.8 Juta/bulan,"Cibinong, Kabupaten bogor",LT 72 m²LB 70 m²KM 1KT 2
Perumahan Villa Mutiara,Rp 520.000.000,Cicilan 5 Juta/bulan,"Tanah sareal, Kota bogor",LT 72 m²LB 50 m²KM 1KT 2
Graha Arradea Dramaga,Rp 520.000.000,Cicilan 5 Juta/bulan,"Dramaga, Kabupaten bogor",LT 60 m²LB 45 m²KM 1KT 2
Pesona Cilebut 1,Rp 520.000.000,Cicilan 5 Juta/bulan,"Sukaraja, Kabupaten bogor",LT 72 m²LB 42 m²KM 1KT 2
Perumahan Bogor Asri,Rp 520.000.000,Cicilan 5 Juta/bulan,"Cibinong, Kabupaten bogor",LT 60 m²LB 60 m²KM 1KT 2
Perumahan Royal Homy,Rp 530.000.000,Cicilan 5.1 Juta/bulan,"Ciampea, Kabupaten bogor",LT 60 m²LB 33 m²KM 1KT 2
Perumahan Villa Mutiara,Rp 560.000.000,Cicilan 5.4 Juta/bulan,"Tanah sareal, Kota bogor",LT 60 m²LB 34 m²KM 1KT 2
Perumahan Mustika Park Place Cluster Navara,Rp 570.000.000,Cicilan 5.5 Juta/bulan,"Setu, Kabupaten bekasi",LT 60 m²LB 30 m²KM 1KT 2
Perumahan Bali Residence,Rp 570.000.000,Cicilan 5.5 Juta/bulan,"Ciseeng, Kabupaten bogor",LT 90 m²LB 50 m²KM 1KT 2
Griya Asri 2 Bekasi,Rp 570.000.000,Cicilan 5.5 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 60 m²LB 45 m²KM 1KT 2
Villa Laskar Indah,Rp 570.000.000,Cicilan 5.5 Juta/bulan,"Cipayung, Kota depok",LT 68 m²LB 45 m²KM 1KT 2
Perumahan The Orchid Green Park,Rp 580.000.000,Cicilan 5.6 Juta/bulan,"Sawangan, Kota depok",LT 82 m²LB 50 m²KM 1KT 2
Perumahan Casa De Royal Village,Rp 585.000.000,Cicilan 5.6 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 60 m²LB 42 m²KM 1KT 2
Griya Kartika Bojong Gede,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Bojong gede, Kabupaten bogor",LT 73 m²LB 45 m²KM 1KT 2
Perumahan Puri Cendana,Rp 590.000.000,Cicilan 5.7 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 60 m²LB 45 m²KM 1KT 2
Bumi Agung Residence,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Sawangan, Kota depok",LT 108 m²LB 70 m²KM 1KT 2
Bekasi Timur Regency Cluster Malachite,Rp 600.000.000,Cicilan 5.8 Juta/bulan,"Mustikajaya, Kota bekasi",LT 60 m²LB 45 m²KM 1KT 2
Dukuh Zamrud,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Mustikajaya, Kota bekasi",LT 60 m²LB 45 m²KM 1KT 2
Perumahan Puri Cendana,Rp 610.000.000,Cicilan 5.8 Juta/bulan,"Tambun selatan, Kabupaten bekasi",LT 60 m²LB 45 m²KM 1KT 2
